Mod:Item:MetaData, Localized Name
minechem:fluid.molecule.threonine.name, Threonine
minechem:fluid.molecule.lysine.name, Lysine
minechem:fluid.molecule.methionine.name, Methionine
minechem:fluid.molecule.tyrosine.name, Tyrosine
minechem:fluid.molecule.histidine.name, Histidine
minechem:fluid.molecule.phenylalanine.name, Phenylalanine
minechem:fluid.molecule.glutamine.name, Glutamine
minechem:fluid.molecule.proline.name, Proline
minechem:fluid.molecule.leucine.name, Leucine
minechem:fluid.molecule.tryptophan.name, Tryptophan
minechem:fluid.molecule.isoleucine.name, Isoleucine
minechem:fluid.molecule.glutamates.name, Glutamic Acid
minechem:fluid.molecule.asparagine.name, Asparagine
minechem:fluid.molecule.keratin.name, Keratin
minechem:fluid.molecule.asbestos.name, Asbestos
minechem:fluid.molecule.lithiumHydroxide.name, Lithium Hydroxide
minechem:fluid.molecule.sodiumHydroxide.name, Sodium Hydroxide
minechem:fluid.molecule.potassiumHydroxide.name, Potassium Hydroxide
minechem:fluid.molecule.rubidiumHydroxide.name, Rubidium Hydroxide
minechem:fluid.molecule.cesiumHydroxide.name, Cesium Hydroxide
minechem:fluid.molecule.franciumHydroxide.name, Francium Hydroxide
minechem:fluid.molecule.hypophosphite.name, Hypophosphite
minechem:fluid.molecule.aluminiumHypophosphite.name, fluid.molecule.aluminiumHypophosphite.name
minechem:fluid.molecule.omphacite.name, Omphacite
minechem:fluid.molecule.silicate.name, Silicate
minechem:fluid.molecule.pyrope.name, Pyrope
minechem:fluid.molecule.almadine.name, Almandine
minechem:fluid.molecule.spessartine.name, Spessartine
minechem:fluid.molecule.redGarnet.name, Red Garnet
minechem:fluid.molecule.forsterite.name, Forsterite
minechem:fluid.molecule.chromite.name, Chromite
minechem:fluid.molecule.siliconOxide.name, Silicon Oxide
minechem:fluid.molecule.ironOxide.name, Iron Oxide
minechem:fluid.molecule.galliumOxide.name, Gallium Oxide
minechem:fluid.molecule.arsenicOxide.name, Arsenic Oxide
minechem:fluid.molecule.sulfurDioxide.name, Sulfur Dioxide
minechem:fluid.molecule.hydrogenSulfide.name, Hydrogen Sulfide
minechem:fluid.molecule.sodiumBisulfate.name, Sodium Bisulfate
minechem:fluid.molecule.sodiumSulfate.name, Sodium Sulfate
minechem:fluid.molecule.dimethyltryptamine.name, Dimethyltryptamine
minechem:fluid.molecule.oleicAcid.name, Oleic Acid
minecolonies:blockHutTownhall, Town Hall
minecolonies:blockHutCitizen, Citizen's Hut
minecolonies:blockHutMiner, Mine
minecolonies:blockHutLumberjack, Sawmill
minecolonies:blockHutBaker, Bakery
minecolonies:blockHutBuilder, Builder's Hut
minecolonies:blockHutWarehouse, Warehouse
minecolonies:blockHutBlacksmith, Forge
minecolonies:blockHutStonemason, Quarry
minecolonies:blockHutFarmer, Farm
TwilightForest:tile.TFLog:0, Twilight Oak Wood
TwilightForest:tile.TFLog:1, Canopy Tree Wood
TwilightForest:tile.TFLog:2, Mangrove Wood
TwilightForest:tile.TFLog:3, Darkwood Wood
TwilightForest:tile.TFRoots:0, Roots
TwilightForest:tile.TFRoots:1, Liveroots
TwilightForest:tile.TFLeaves:0, Twilight Oak Leaves
TwilightForest:tile.TFLeaves:1, Canopy Tree Leaves
TwilightForest:tile.TFLeaves:2, Mangrove Leaves
TwilightForest:tile.TFLeaves:3, Rainbow Oak Leaves
TwilightForest:tile.TFFirefly, Firefly
TwilightForest:tile.TFCicada, Cicada
TwilightForest:tile.TFPortal, Twilight Forest Portal
TwilightForest:tile.TFMazestone:0, Mazestone
TwilightForest:tile.TFMazestone:1, Mazestone Brick
TwilightForest:tile.TFMazestone:2, Chiseled Mazestone
TwilightForest:tile.TFMazestone:3, Decorative Mazestone Brick
TwilightForest:tile.TFMazestone:4, Cracked Mazestone Brick
TwilightForest:tile.TFMazestone:5, Mossy Mazestone Brick
TwilightForest:tile.TFMazestone:6, Mazestone Mosaic
TwilightForest:tile.TFMazestone:7, Mazestone Border
TwilightForest:tile.TFHedge:0, Hedge
TwilightForest:tile.TFFireflyJar, Firefly Jar
TwilightForest:tile.TFPlant:3, Moss Patch
TwilightForest:tile.TFPlant:4, Mayapple
TwilightForest:tile.TFPlant:8, Fiddlehead
TwilightForest:tile.TFPlant:9, Mushgloom
TwilightForest:tile.TFPlant:10, Forest Grass
TwilightForest:tile.TFPlant:11, Dried Bush
TwilightForest:tile.TFPlant:13, Torchberry Plant
TwilightForest:tile.TFPlant:14, Root Strands
TwilightForest:tile.TFUncraftingTable, Uncrafting Table
TwilightForest:tile.TFFireJet:0, Smoking block
TwilightForest:tile.TFFireJet:8, Fire Jet
TwilightForest:tile.TFFireJet:1, Encased Smoker
TwilightForest:tile.TFFireJet:11, Encased Fire Jet
TwilightForest:tile.TFNagastone:1, Nagastone Head
TwilightForest:tile.TFNagastone:13, Nagastone
TwilightForest:tile.TFSapling:0, Sickly Twilight Oak Sapling
TwilightForest:tile.TFSapling:1, Canopy Tree Sapling
TwilightForest:tile.TFSapling:2, Twilight Mangrove Sapling
TwilightForest:tile.TFSapling:3, Darkwood Sapling
TwilightForest:tile.TFSapling:4, Robust Twilight Oak Sapling
TwilightForest:tile.TFSapling:5, Tree of Time Sapling
TwilightForest:tile.TFSapling:6, Tree of Transformation Sapling
TwilightForest:tile.TFSapling:7, Miner's Tree Sapling
TwilightForest:tile.TFSapling:8, Sorting Tree Sapling
TwilightForest:tile.TFSapling:9, Rainbow Oak Sapling
TwilightForest:tile.TFMoonworm, Moonworm
TwilightForest:tile.TFMagicLog:0, Timewood
TwilightForest:tile.TFMagicLog:1, Transwood
TwilightForest:tile.TFMagicLog:2, Minewood
TwilightForest:tile.TFMagicLog:3, Sortingwood
TwilightForest:tile.TFMagicLeaves:0, Timewood Leaves
TwilightForest:tile.TFMagicLeaves:1, Leaves of Transformation
TwilightForest:tile.TFMagicLeaves:2, Miner's Leaves
TwilightForest:tile.TFMagicLeaves:3, Sorting Leaves
TwilightForest:tile.TFMagicLogSpecial:0, Timewood Clock
TwilightForest:tile.TFMagicLogSpecial:1, Heart of Transformation
TwilightForest:tile.TFMagicLogSpecial:2, Minewood Core
TwilightForest:tile.TFMagicLogSpecial:3, Sortingwood Engine
TwilightForest:tile.TFTowerStone:0, Towerwood Planks
TwilightForest:tile.TFTowerStone:1, Encased Towerwood
TwilightForest:tile.TFTowerStone:2, Cracked Towerwood
TwilightForest:tile.TFTowerStone:3, Mossy Towerwood
TwilightForest:tile.TFTowerStone:4, Infested Towerwood
TwilightForest:tile.TFTowerDevice:0, Reappearing Block
TwilightForest:tile.TFTowerDevice:2, Vanishing Block
TwilightForest:tile.TFTowerDevice:4, Locked Vanishing Block
TwilightForest:tile.TFTowerDevice:5, Unlocked Vanishing Block
TwilightForest:tile.TFTowerDevice:6, Carminite Builder
TwilightForest:tile.TFTowerDevice:9, Anti-builder
TwilightForest:tile.TFTowerDevice:10, Ghast Trap
TwilightForest:tile.TFTowerDevice:12, Carminite Reactor
TwilightForest:tile.TFTrophy:0, tile.TFTrophy.0.name
TwilightForest:tile.TFShield:0, Stronghold Shield
TwilightForest:tile.TFTrophyPedestal:0, Trophy Pedestal
TwilightForest:tile.TFTrophyPedestal:15, Latent Trophy Pedestal
TwilightForest:tile.TFAuroraBrick, Aurora Block
TwilightForest:tile.TFUnderBrick:0, Underbrick
TwilightForest:tile.TFUnderBrick:1, Mossy Underbrick
TwilightForest:tile.TFUnderBrick:2, Cracked Underbrick
TwilightForest:tile.TFThorns:0, Thorns
TwilightForest:tile.TFThorns:1, Green Thorns
TwilightForest:tile.TFBurntThorns, Burnt Thorns
TwilightForest:tile.TFThornRose, Thorn Rose
TwilightForest:tile.TFLeaves3:0, Thorn Leaves
TwilightForest:tile.TFLeaves3:1, Beanstalk Leaves
TwilightForest:tile.TFDeadrock:0, Weathered Deadrock
TwilightForest:tile.TFDeadrock:1, Cracked Deadrock
TwilightForest:tile.TFDeadrock:2, Deadrock
TwilightForest:tile.DarkLeaves, Darkwood Leaves
TwilightForest:tile.AuroraPillar, Aurora Pillar
TwilightForest:tile.AuroraSlab:0, Aurora Slab
TwilightForest:tile.AuroraDoubleSlab:0, Aurora Slab
TwilightForest:tile.TrollSteinn, Trollsteinn
TwilightForest:tile.WispyCloud, Wispy Cloud
TwilightForest:tile.FluffyCloud, Fluffy Cloud
TwilightForest:tile.GiantCobble, Giant Cobblestone
TwilightForest:tile.GiantLog, Giant Log
TwilightForest:tile.GiantLeaves, Giant Leaves
TwilightForest:tile.GiantObsidian, Giant Obsidian
TwilightForest:tile.UberousSoil, Uberous Soil
TwilightForest:tile.HugeStalk, Huge Stalk
TwilightForest:tile.HugeGloomBlock, Huge Mushgloom
TwilightForest:tile.TrollVidr, Trollvidr
TwilightForest:tile.UnripeTrollBer, Unripe Trollber
TwilightForest:tile.TrollBer, Trollber
TwilightForest:tile.KnightmetalBlock, Block of Knightmetal
TwilightForest:tile.HugeLilyPad, Huge Lily Pad
TwilightForest:tile.HugeWaterLily, Huge Water Lily
TwilightForest:tile.Slider:0, Slide Trap
TwilightForest:tile.Slider:1, Slide Trap 1
TwilightForest:tile.Slider:2, Slide Trap 2
TwilightForest:tile.Slider:3, Slide Trap 3
TwilightForest:tile.CastleBrick:0, Castle Brick
TwilightForest:tile.CastleBrick:1, Worn Castle Brick
TwilightForest:tile.CastleBrick:2, Cracked Castle Brick
TwilightForest:tile.CastleBrick:3, Castle Roof Tile
TwilightForest:tile.CastleMagic:0, Pink Castle Rune Brick
TwilightForest:tile.CastleMagic:1, Blue Castle Rune Brick
TwilightForest:tile.CastleMagic:2, Yellow Castle Rune Brick
TwilightForest:tile.CastleMagic:3, Violet Castle Rune Brick
TwilightForest:tile.ForceField:0, Violet Force Field
TwilightForest:tile.ForceField:1, Pink Force Field
TwilightForest:tile.ForceField:2, Orange Force Field
TwilightForest:tile.ForceField:3, Green Force Field
TwilightForest:tile.ForceField:4, Blue Force Field
cfm:lampon, tile.lampon.name
cfm:lampoff, tile.lampoff.name
cfm:coffetablewood, tile.coffetablewood.name
cfm:coffetablestone, tile.coffetablestone.name
cfm:tablewood, tile.tablewood.name
cfm:tablestone, tile.tablestone.name
cfm:chairwood, tile.chairwood.name
cfm:chairstone, tile.chairstone.name
cfm:freezer, tile.freezer.name
cfm:fridge, tile.fridge.name
cfm:cabinet, tile.cabinet.name
cfm:couch, tile.couch.name
cfm:blindon, tile.blindon.name
cfm:blindoff, tile.blindoff.name
cfm:curtainon, tile.curtainon.name
cfm:curtainoff, tile.curtainoff.name
cfm:bedsidecabinet, tile.bedsidecabinet.name
cfm:oven, tile.oven.name
cfm:ovenoverhead, tile.ovenoverhead.name
cfm:hedge, tile.hedge.name
cfm:birdbath, tile.birdbath.name
cfm:stonepath, tile.stonepath.name
cfm:whitefence, tile.whitefence.name
cfm:tap, tile.tap.name
cfm:mailbox, tile.mailbox.name
cfm:tv, tile.tv.name
cfm:computer, tile.computer.name
cfm:printer, tile.printer.name
cfm:electricfence, tile.electricfence.name
cfm:doorbell, tile.doorbell.name
cfm:firealarmoff, tile.firealarmoff.name
cfm:firealarmon, tile.firealarmon.name
cfm:ceilinglightoff, tile.ceilinglightoff.name
cfm:ceilinglighton, tile.ceilinglighton.name
cfm:stereo, tile.stereo.name
cfm:toilet, tile.toilet.name
cfm:basin, tile.basin.name
cfm:wallcabinet, tile.wallcabinet.name
cfm:bath1, tile.bath1.name
cfm:bath2, tile.bath2.name
cfm:showerbottom, tile.showerbottom.name
cfm:showertop, tile.showertop.name
cfm:showerheadoff, tile.showerheadoff.name
cfm:showerheadon, tile.showerheadon.name
cfm:bin, tile.bin.name
cfm:present, tile.present.name
cfm:tree, tile.tree.name
cfm:toaster, tile.toaster.name
cfm:microwave, tile.microwave.name
cfm:washingmachine, tile.washingmachine.name
cfm:cookiejar, tile.cookiejar.name
cfm:blender, tile.blender.name
cfm:plate, tile.plate.name
cfm:cup, tile.cup.name
cfm:counterdoored, tile.counterdoored.name
cfm:countersink, tile.countersink.name
cfm:dishwasher, tile.dishwasher.name
cfm:kitchencabinet, tile.kitchencabinet.name
cfm:choppingboard, tile.choppingboard.name
cfm:barstool, tile.barstool.name
cfm:hey, tile.hey.name
cfm:nyan, tile.nyan.name
cfm:pattern, tile.pattern.name
cfm:yellowGlow, tile.yellowGlow.name
cfm:whiteGlass, tile.whiteGlass.name
Mystcraft:BlockInkMixer, Ink Mixer
Mystcraft:BlockBookBinder, Book Binder
Mystcraft:BlockBookReceptacle, Book Receptacle
Mystcraft:BlockBookstand, Bookstand
Mystcraft:BlockLectern, Lectern
Mystcraft:BlockDecay:0, Black Decay
Mystcraft:BlockLinkModifier, Link Modifier
Mystcraft:BlockCrystal, Crystal
Mystcraft:LinkPortal, Link Portal
Mystcraft:WritingDesk, Writing Desk
Mystcraft:BlockStarFissure, Star Fissure
Mystcraft:BlockFluidMyst, tile.myst.fluid.name
Natura:N Crops, Crops
Natura:BerryBush:12, Raspberry Bush
Natura:BerryBush:13, Blueberry Bush
Natura:BerryBush:14, Blackberry Bush
Natura:BerryBush:15, Maloberry Bush
Natura:NetherBerryBush:12, Blightberry Bush
Natura:NetherBerryBush:13, Duskberry Bush
Natura:NetherBerryBush:14, Skyberry Bush
Natura:NetherBerryBush:15, Stingberry Bush
Natura:Cloud:0, Cloud
Natura:Cloud:1, Dark Cloud
Natura:Cloud:2, Ash Cloud
Natura:Cloud:3, Sulfur Cloud
Natura:tree:0, Eucalyptus Wood
Natura:tree:1, Sakura Wood
Natura:tree:2, Ghostwood
Natura:tree:3, Hopseed Wood
Natura:redwood:0, Redwood Bark
Natura:redwood:1, Redwood
Natura:redwood:2, Redwood Root
Natura:planks:0, Eucalyptus Planks
Natura:planks:1, Sakura Planks
Natura:planks:2, Ghostwood Planks
Natura:planks:3, Redwood Planks
Natura:planks:4, Bloodwood Planks
Natura:planks:5, Hopseed Planks
Natura:planks:6, Maple Planks
Natura:planks:7, Silverbell Planks
Natura:planks:8, Amaranth Planks
Natura:planks:9, Tigerwood Planks
Natura:planks:10, Willow Planks
Natura:planks:11, Darkwood Planks
Natura:planks:12, Fusewood Planks
Natura:floraleaves:0, Redwood Leaves
Natura:floraleaves:1, Eucalyptus Leaves
Natura:floraleaves:2, Hopseed Leaves
Natura:floraleavesnocolor:0, Sakura Leaves
Natura:floraleavesnocolor:1, Ghostwood Leaves
Natura:floraleavesnocolor:2, Bloodleaves
Natura:floraleavesnocolor:3, Willow Leaves
Natura:florasapling:0, Redwood Sapling
Natura:florasapling:1, Eucalyptus Sapling
Natura:florasapling:2, Hopseed Sapling
Natura:florasapling:3, Sakura Sapling
Natura:florasapling:4, Ghostwood Sapling
Natura:florasapling:5, Blood Sapling
Natura:florasapling:6, Darkwood Sapling
Natura:florasapling:7, Fusewood Sapling
Natura:Saguaro:0, Saguaro Cactus
Natura:willow:0, Willow Wood
Natura:door.redwood, Redwood Door
Natura:door.eucalyptus, Eucalyptus Door
Natura:door.hopseed, Hopseed Door
Natura:door.sakura, Sakura Door
Natura:door.ghostwood, Ghostwood Door
Natura:door.bloodwood, Bloodwood Door
Natura:door.redwoodbark, Redwood Bark Door
Natura:bloodwood:0, Bloodwood
Natura:bloodwood:15, Bloodwood
Natura:soil.tainted, Tainted Soil
Natura:heatsand, Heat Sand
Natura:Dark Tree:0, Darkwood
Natura:Dark Tree:1, Fusewood
Natura:Dark Leaves:0, Darkwood Leaves
Natura:Dark Leaves:1, Darkwood Leaves
Natura:Dark Leaves:2, Darkwood Leaves
Natura:Dark Leaves:3, Fusewood Leaves
Natura:Thornvines, Thornvines
Natura:Glowshroom:0, Green Glowshroom
Natura:Glowshroom:1, Purple Glowshroom
Natura:Glowshroom:2, Blue Glowshroom
Natura:blueGlowshroom, Blue Glowshroom
Natura:purpleGlowshroom, Purple Glowshroom
Natura:greenGlowshroom, Green Glowshroom
Natura:Blazerail, Blaze Rail
Natura:BrailPowered, Powered Blaze Rail
Natura:BrailDetector, Detector Blaze Rail
Natura:BrailActivator, Activator Blaze Rail
Natura:NetherFurnace, Nether Furnace
Natura:Obelisk, Obelisk
Natura:NetherGlass:0, Soul Glass
Natura:NetherGlass:1, Heat Glass
Natura:NetherHopper, Hopper
Natura:NetherPressurePlate, Pressure Plate
Natura:NetherButton, Button
Natura:NetherLever, Lever
Natura:Rare Tree:0, Maple Wood
Natura:Rare Tree:1, Silverbell Wood
Natura:Rare Tree:2, Amaranth Wood
Natura:Rare Tree:3, Tiger Wood
Natura:Rare Leaves:0, Maple Leaves
Natura:Rare Leaves:1, Silverbell Leaves
Natura:Rare Leaves:2, Amaranth Leaves
Natura:Rare Leaves:3, Tiger Leaves
Natura:Rare Sapling:0, Maple Sapling
Natura:Rare Sapling:1, Silverbell Sapling
Natura:Rare Sapling:2, Amaranth Sapling
Natura:Rare Sapling:3, Tigerwood Sapling
Natura:Rare Sapling:4, Willow Sapling
Natura:Bluebells, Bluebells
Natura:Natura.workbench:0, Crafting Table
Natura:Natura.workbench:1, Crafting Table
Natura:Natura.workbench:2, Crafting Table
Natura:Natura.workbench:3, Crafting Table
Natura:Natura.workbench:4, Crafting Table
Natura:Natura.workbench:5, Crafting Table
Natura:Natura.workbench:6, Crafting Table
Natura:Natura.workbench:7, Crafting Table
Natura:Natura.workbench:8, Crafting Table
Natura:Natura.workbench:9, Crafting Table
Natura:Natura.workbench:10, Crafting Table
Natura:Natura.workbench:11, Crafting Table
Natura:Natura.workbench:12, Crafting Table
Natura:Natura.bookshelf:0, Bookshelf
Natura:Natura.bookshelf:1, Bookshelf
Natura:Natura.bookshelf:2, Bookshelf
Natura:Natura.bookshelf:3, Bookshelf
Natura:Natura.bookshelf:4, Bookshelf
Natura:Natura.bookshelf:5, Bookshelf
Natura:Natura.bookshelf:6, Bookshelf
Natura:Natura.bookshelf:7, Bookshelf
Natura:Natura.bookshelf:8, Bookshelf
Natura:Natura.bookshelf:9, Bookshelf
Natura:Natura.bookshelf:10, Bookshelf
Natura:Natura.bookshelf:11, Bookshelf
Natura:Natura.bookshelf:12, Bookshelf
Natura:Natura.fence:0, Fence
Natura:Natura.fence:1, Fence
Natura:Natura.fence:2, Fence
Natura:Natura.fence:3, Fence
Natura:Natura.fence:4, Fence
Natura:Natura.fence:5, Fence
Natura:Natura.fence:6, Fence
Natura:Natura.fence:7, Fence
Natura:Natura.fence:8, Fence
Natura:Natura.fence:9, Fence
Natura:Natura.fence:10, Fence
Natura:Natura.fence:11, Fence
Natura:Natura.fence:12, Fence
Natura:GrassBlock:0, Topiary Grass
Natura:GrassBlock:1, Bluegrass
Natura:GrassBlock:2, Autumnal Grass
Natura:GrassSlab:0, Topiary Grass Slab
Natura:GrassSlab:1, Bluegrass Slab
Natura:GrassSlab:2, Autumnal Grass Slab
Natura:plankSlab1:0, Eucalyptus Slab
Natura:plankSlab1:1, Sakura Slab
Natura:plankSlab1:2, Ghostwood Slab
Natura:plankSlab1:3, Redwood Slab
Natura:plankSlab1:4, Blood Slab
Natura:plankSlab1:5, Hopseed Slab
Natura:plankSlab1:6, Maple Slab
Natura:plankSlab1:7, Silverbell Slab
Natura:plankSlab2:0, Amaranth Slab
Natura:plankSlab2:1, Tigerwood Slab
Natura:plankSlab2:2, Willow Slab
Natura:plankSlab2:3, Darkwood Slab
Natura:plankSlab2:4, Fusewood Slab
Natura:stair.eucalyptus, Eucalyptus Stairs
Natura:stair.sakura, Sakura Stairs
Natura:stair.ghostwood, Ghostwood Stairs
Natura:stair.redwood, Redwood Stairs
Natura:stair.bloodwood, Blood Stairs
Natura:stair.hopseed, Hopseed Stairs
Natura:stair.maple, Maple Stairs
Natura:stair.silverbell, Silverbell Stairs
Natura:stair.amaranth, Amaranth Stairs
Natura:stair.tiger, Tigerwood Stairs
Natura:stair.willow, Willow Stairs
Natura:stair.darkwood, Darkwood Stairs
Natura:stair.fusewood, Fusewood Stairs
Natura:pressureplate.eucalyptus, Eucalyptus Pressure Plate
Natura:trapdoor.eucalyptus, Eucalyptus Trapdoor
Natura:button.eucalyptus, Eucalyptus Button
Natura:fenceGate.eucalyptus, Eucalyptus Fence Gate
Natura:pressureplate.sakura, Sakura Pressure Plate
Natura:trapdoor.sakura, Sakura Trapdoor
Natura:button.sakura, Sakura Button
Natura:fenceGate.sakura, Sakura Fence Gate
Natura:pressureplate.ghostwood, Ghostwood Pressure Plate
Natura:trapdoor.ghostwood, Ghostwood Trapdoor
Natura:button.ghostwood, Ghostwood Button
Natura:fenceGate.ghostwood, Ghostwood Fence Gate
Natura:pressureplate.redwood, Redwood Pressure Plate
Natura:trapdoor.redwood, Redwood Trapdoor
Natura:button.redwood, Redwood Button
Natura:fenceGate.redwood, Redwood Fence Gate
Natura:pressureplate.bloodwood, Blood Pressure Plate
Natura:trapdoor.bloodwood, Blood Trapdoor
Natura:button.bloodwood, Blood Button
Natura:fenceGate.bloodwood, Blood Fence Gate
Natura:pressureplate.hopseed, Hopseed Pressure Plate
Natura:trapdoor.hopseed, Hopseed Trapdoor
Natura:button.hopseed, Hopseed Button
Natura:fenceGate.hopseed, Hopseed Fence Gate
Natura:pressureplate.maple, Maple Pressure Plate
Natura:trapdoor.maple, Maple Trapdoor
Natura:button.maple, Maple Button
Natura:fenceGate.maple, Maple Fence Gate
Natura:pressureplate.amaranth, Amaranth Pressure Plate
Natura:trapdoor.amaranth, Amaranth Trapdoor
Natura:button.amaranth, Amaranth Button
Natura:fenceGate.amaranth, Amaranth Fence Gate
Natura:pressureplate.silverbell, Silverbell Pressure Plate
Natura:trapdoor.silverbell, Silverbell Trapdoor
Natura:button.silverbell, Silverbell Button
Natura:fenceGate.silverbell, Silverbell Fence Gate
Natura:pressureplate.tiger, Tigerwood Pressure Plate
Natura:trapdoor.tiger, Tigerwood Trapdoor
Natura:button.tiger, Tigerwood Button
Natura:fenceGate.tiger, Tigerwood Fence Gate
Natura:pressureplate.willow, Willow Pressure Plate
Natura:trapdoor.willow, Willow Trapdoor
Natura:button.willow, Willow Button
Natura:fenceGate.willow, Willow Fence Gate
Natura:pressureplate.darkwood, Darkwood Pressure Plate
Natura:trapdoor.darkwood, Darkwood Trapdoor
Natura:button.darkwood, Darkwood Button
Natura:fenceGate.darkwood, Darkwood Fence Gate
Natura:pressureplate.fusewood, Fusewood Pressure Plate
Natura:trapdoor.fusewood, Fusewood Trapdoor
Natura:button.fusewood, Fusewood Button
Natura:fenceGate.fusewood, Fusewood Fence Gate
ProjectE:interdiction_torch, Interdiction Torch
ProjectE:condenser_mk2, Energy Condenser MK2
ProjectE:rm_furnace_lit, Red Matter Furnace
ProjectE:dm_furnace_lit, Dark Matter Furnace
ProjectE:dm_pedestal, Dark Matter Pedestal
ProjectE:nova_catalyst, Nova Catalyst
ProjectE:nova_cataclysm, Nova Cataclysm
ProjectE:alchemical_chest, Alchemical Chest
ProjectE:transmutation_table, Transmutation Table
ProjectE:condenser_mk1, Energy Condenser
ProjectE:rm_furnace, Red Matter Furnace
ProjectE:dm_furnace, Dark Matter Furnace
ProjectE:matter_block:0, Dark Matter Block
ProjectE:matter_block:1, Red Matter Block
ProjectE:fuel_block:0, Alchemical Coal Block
ProjectE:fuel_block:1, Mobius Fuel Block
ProjectE:fuel_block:2, Aeternalis Fuel Block
ProjectE:collector_mk1, Energy Collector MK1
ProjectE:collector_mk2, Energy Collector MK2
ProjectE:collector_mk3, Energy Collector MK3
ProjectE:relay_mk1, Anti-Matter Relay MK1
ProjectE:relay_mk2, Anti-Matter Relay MK2
ProjectE:relay_mk3, Anti-Matter Relay MK3
StevesCarts:BlockCargoManager, Cargo Manager
StevesCarts:BlockJunction, Junction Rail
StevesCarts:BlockAdvDetector, Advanced Detector Rail
StevesCarts:BlockCartAssembler, Cart Assembler
StevesCarts:BlockActivator, Module Toggler
StevesCarts:BlockDistributor, External Distributor
StevesCarts:BlockDetector:0, Detector Manager
StevesCarts:BlockDetector:1, Detector Unit
StevesCarts:BlockDetector:2, Detector Station
StevesCarts:BlockDetector:3, Detector Junction
StevesCarts:BlockDetector:4, Detector Redstone Unit
StevesCarts:upgrade:0, Upgrade: Batteries
StevesCarts:upgrade:1, Upgrade: Power Crystal
StevesCarts:upgrade:2, Upgrade: Module knowledge
StevesCarts:upgrade:3, Upgrade: Industrial espionage
StevesCarts:upgrade:4, Upgrade: Experienced assembler
StevesCarts:upgrade:5, Upgrade: New Era
StevesCarts:upgrade:6, Upgrade: CO2 friendly
StevesCarts:upgrade:7, Upgrade: Generic engine
StevesCarts:upgrade:8, Upgrade: Module input
StevesCarts:upgrade:9, Upgrade: Production line
StevesCarts:upgrade:10, Upgrade: Cart Deployer
StevesCarts:upgrade:11, Upgrade: Cart Modifier
StevesCarts:upgrade:12, Upgrade: Cart Crane
StevesCarts:upgrade:13, Upgrade: Redstone Control
StevesCarts:upgrade:14, Upgrade: Creative Mode
StevesCarts:upgrade:15, Upgrade: Quick Demolisher
StevesCarts:upgrade:16, Upgrade: Entropy
StevesCarts:upgrade:17, Upgrade: Manager Bridge
StevesCarts:upgrade:18, Upgrade: Thermal Engine
StevesCarts:upgrade:19, Upgrade: Solar Panel
StevesCarts:BlockLiquidManager, Liquid Manager
StevesCarts:BlockMetalStorage:0, Reinforced Metal Block
StevesCarts:BlockMetalStorage:1, Galgadorian Block
StevesCarts:BlockMetalStorage:2, Enhanced Galgadorian Block
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
